jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
1,1,33.0,1,2.0,1.0,4,1500.0,7.313220387090301,192.0
6,2,55.0,1,2.0,1.0,3,900.0,6.802394763324311,56.0
2,1,45.0,1,2.0,1.0,3,600.0,6.396929655216146,192.0
1,1,31.0,1,2.0,1.0,4,2700.0,7.90100705199242,280.0
1,1,25.0,1,2.0,1.0,3,624.0,6.436150368369428,312.0
1,2,27.0,1,2.0,1.0,4,400.0,5.991464547107982,264.0
1,1,37.0,1,2.0,1.0,5,1200.0,7.090076835776092,220.0
1,1,33.0,1,2.0,1.0,4,360.0,5.886104031450156,288.0
1,1,29.0,1,2.0,1.0,2,1400.0,7.24422751560335,300.0
1,1,31.0,1,2.0,1.0,4,640.0,6.461468176353717,200.0
1,1,35.0,1,2.0,1.0,3,400.0,5.991464547107982,280.0
1,1,28.0,1,2.0,2.0,3,900.0,6.802394763324311,384.0
2,2,26.0,1,2.0,2.0,3,300.0,5.703782474656201,40.0
2,1,33.0,1,1.0,1.0,1,810.0,6.697034247666484,200.0
1,1,24.0,1,2.0,1.0,3,1200.0,7.090076835776092,280.0
3,2,20.0,1,2.0,1.0,1,1000.0,6.907755278982137,272.0
1,1,49.0,1,2.0,1.0,4,1500.0,7.313220387090301,96.0
2,2,29.0,1,1.0,2.0,2,900.0,6.802394763324311,192.0
1,1,32.0,1,2.0,1.0,4,1100.0,7.003065458786462,280.0
1,2,28.0,1,2.0,1.0,2,1920.0,7.560080465021827,280.0
2,1,39.0,1,2.0,1.0,2,1600.0,7.3777589082278725,240.0
1,1,29.0,1,1.0,1.0,3,2000.0,7.600902459542082,184.0
1,1,22.0,1,2.0,1.0,3,1400.0,7.24422751560335,360.0
1,1,23.0,1,2.0,1.0,5,640.0,6.461468176353717,240.0
2,2,48.0,1,2.0,1.0,3,1000.0,6.907755278982137,280.0
3,2,24.0,1,2.0,1.0,3,1120.0,7.02108396428914,280.0
2,2,30.0,1,2.0,1.0,1,600.0,6.396929655216146,320.0
1,1,38.0,1,2.0,1.0,3,1200.0,7.090076835776092,200.0
1,1,32.0,1,2.0,1.0,2,1300.0,7.170119543449628,252.0
1,1,39.0,1,2.0,1.0,2,320.0,5.768320995793772,140.0
1,2,33.0,1,1.0,1.0,1,960.0,6.866933284461882,192.0
2,1,26.0,1,2.0,1.0,5,1000.0,6.907755278982137,244.0
1,1,35.0,1,2.0,1.0,2,1800.0,7.495541943884256,336.0
1,1,37.0,1,1.0,1.0,3,2200.0,7.696212639346407,192.0
1,1,39.0,1,1.0,1.0,3,2080.0,7.640123172695364,216.0
1,2,21.0,1,2.0,2.0,2,1800.0,7.495541943884256,220.0
